,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,first_three_cols
1049,FREEDOM FOR ALL  By Obafemi Awolowo.txt,action,group,methods,western,aims,objectives,people,programmes,principles,would,action group  methods
1107,Freedom for All By Chief Obafemi Awolowo.txt,action,group,methods,western,aims,objectives,people,programmes,principles,would,action group  methods
959,"Dr Akinwumi A. Adesina President, African Development Bank Group - 40th Anniversary of The Guardian Newspapers - Lagos, Nigeria - 28 November 2023.txt",africa,african,development,billion,must,global,bank,countries,million,guardian,africa african  development
1574,"Keynote Speech by Dr Akinwumi A. Adesina President, African Development Bank Group - 40th Anniversary of The Guardian Newspapers.txt",africa,african,development,billion,must,global,bank,countries,million,guardian,africa african  development
2762,UN Secretary General Address to OAU at the summit where the new name African Union was adopted.txt,africa,african,summit,continent,new,peace,united,aids,conflicts,promise,africa african  summit
2964,speeches of Sectary General Kofi  Anna addressing OAU in Lusaka.txt,africa,african,summit,continent,new,peace,united,aids,conflicts,promise,africa african  summit
634,Africa Power By Muhammadu Buhari.txt,africa,climate,energy,gas,western,oil,development,world,governments,billion,africa climate  energy
1361,How Not To Talk With Africa About Climate Change By Muhammadu Buhari.txt,africa,climate,energy,gas,western,oil,development,world,governments,billion,africa climate  energy
1751,Muhammad Buhari Speechs.txt,africa,climate,western,energy,world,gas,governments,adaptation,developing,continent,africa climate  western
58, How Not To Talk With Africa About Climate Change By Muhammadu Buhari.txt,africa,climate,western,energy,world,gas,governments,adaptation,developing,continent,africa climate  western
57, How Not To Talk With Africa About Climate Change .txt,africa,climate,western,energy,world,gas,governments,adaptation,developing,continent,africa climate  western
262,"(1962) NNAMDI AZIKIWE, “THE FUTURE OF PAN AFRICANISM”.txt",african,africa,states,economic,would,may,concert,commonwealth,union,political,african africa  states
261,"(1962) NNAMDI AZIKIWE, “THE FUTURE OF PAN AFRICANISM” POSTED ONAUGUST 7, 2009BY.txt",african,africa,states,economic,would,may,concert,commonwealth,union,political,african africa  states
2406,"Speech Delivered by Dr. Akinwumi A. Adesina President, African Development Bank Group - President’s Diplomatic Luncheon for Ambassadors - 29 February 2024.txt",african,development,bank,africa,billion,support,million,global,countries,work,african development  bank
