,Filepath,0,1,2,3,4,5,6,7,8,9
0,  OBASANJO Voting Rights March Commemoration Speech.txt,got,going,joshua,people,us,sure,something,still,generation,folks
1," 15th BRICS Summit: Nigeria Remains Committed to Collaborating with China, Others – VP Shettima.txt",china,african,president,vice,areas,south,africa,partnership,initiatives,include
2," 15th BRICS Summit: President Tinubu’s Economic Reforms, Diplomatic Alliances to Attract Investment and Partnership to Nigeria— VP Shettima.txt",president,global,vice,south,international,world,brics,africa,partnership,governance
3, 53rd Independence speech by President Jonathan.txt,us,every,nation,must,nigeria,political,may,years,independence,people
4, A Call for Unity and Freedom in Nigeria.txt,nigerian,nigeria,one,divisive,forces,national,would,freedom,world,today
5," A KEYNOTE ADDRESS DELIVERED BY CHIEF (DR.) J. O. SANUSI, CON; GOVERNOR, CENTRAL BANK OF NIGERIA, AT THE SEMINAR OF THE NIGERIAN ECONOMIC SOCIETY ON “FISCAL POLICY MANAGEMENT IN NIGERIA” HELD ON 22ND MAY, 2003, AT MUSON CENTRE, LAGOS..txt",government,fiscal,expenditure,policy,oil,economic,revenue,federal,monetary,management
6," A Speech Delivered by the Honourable Minister of Budget and National Planning, Senator Udoma Udo Udoma on the Occasion of the Inauguration of the Governing Board of the National Bureau of Statistics (NBS) on Thursday, 9th May, 2019 at the Honourable Minister’s Conference Room.txt",board,national,nbs,bureau,statistics,boards,government,management,distinguished,ladies
7, A Tapestry of Heritage.txt,yoruba,city,bustling,streets,vibrant,gathered,ogun,sun,traditions,stories
8," ABDUL SALAM ABUBAKAR AFTER THE DEATH OF MKO ABIOLA – JULY 8, 1998.txt",chief,one,national,abiola,government,address,must,autopsy,fellow,leadership
9, ABIODUN’S SPEECH AT SECOND TERM INAUGURATION.txt,state,ogun,us,continue,four,administration,public,also,people,development
10," ADDRESS BY H.E. BABAJIDE SANWO-OLU, GOVERNOR OF LAGOS STATE ON WEDNESDAY 29TH MAY 29, 2019.txt",lagos,greater,shall,let,must,us,new,speak,stand,make
11," ADDRESS BY HIS EXCELLENCY, MR. AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE AT THE INAUGURATION OF THE BOARD OF THE LAGOS STATE CONSUMER PROTECTION AGENCY ON 3RD JANUARY, 2018 AT THE STATE HOUSE, IKEJA.﻿.txt",consumer,member,lagos,agency,state,protection,commercial,board,satisfaction,value
12, APC guber primary in Port-Hacourt  speech by Governor Amaechi.txt,must,people,let,one,state,us,men,women,rivers,assembly
13, Acceptance Speech (2000).txt,read,among,school,occasion,thank,ken,african,decided,niyi,together
14, Acceptance Speech By The Godwin I. Emefiele at The Vanguard Newspaper Awards.txt,policy,rate,also,exchange,fx,inflation,people,economic,interest,cbn
15, Acceptance Speech by Wole Soyinka.txt,read,among,school,thank,ken,african,decided,niyi,occasion,together
16," Address Upon Assuming the Office of President April 9, 1841.txt",shall,upon,public,government,office,may,time,would,president,institutions
17, Address on Status of Regional Integration in ECOWAS- President Tinubu.txt,trade,african,ecowas,union,regional,states,economic,continental,member,free
18, Address on Status of Regional Integration in ECOWAS.txt,trade,ecowas,states,african,union,member,free,capacity,regional,economic
19, Albert Einstein's Wonders of Science speech..txt,think,electric,also,radio,first,person,using,thus,engineers,fact
20, Am I Normal? Should I move home? (Transcript).txt,bird,birds,like,data,lagos,people,one,something,numbers,lot
21," At the 21st Convocation Ceremony of University of Port Harcourt Convocation Series October 20, 2014 AN ADDRESS BY THE VICE-CHANCELLOR PROFESSOR NIMI D. BRIGGS TO MARK THE DAY OF THE 21ST CONVOCATION CEREMONY OF THE UNIVERSITY OF PORT HARCOURT ON SATURDAY, 5TH MARCH, 2005  Prefato.txt",university,students,port,staff,also,harcourt,universities,development,petroleum,one
22," BABATUNDE RAJI FASHOLA, SAN AT THE PRESS BRIEFING ON NATIONAL INFRASTRUCTURE MAINTENANCE FRAMEWORK ON THURSDAY 31ST JANUARY 2019 AT FEDERAL MINISTRY OF POWER, WORKS AND HOUSING HEADQUARTERS MABUSHI, ABUJA.txt",buildings,maintenance,people,federal,public,living,government,must,nigeria,data
23," BOSS MUSTAPHA, SECRETARY TO THE GOVERNMENT OF THE FEDERATION, AT THE VALEDICTORY LECTURE OF RETIRING CORPS MARSHAL OF FRSC, DR. BOBOYE OYEYEMI, MFR,MNI,NPoM, AT THE NATIONAL JUDICIARY INSTITUTE (NJI), JABI, HOLDING ON 21ST JULY, 2022 REMARKS.txt",corps,safety,road,frsc,federal,outgoing,marshal,boboye,administration,leadership
24, Barack Obama Senate Floor Speech on Ohio Electoral Vote Counting Procedures.txt,time,born,many,voters,election,would,vote,issue,come,fact
25, Barbara Bush's Wellesley Commencement Address..txt,one,must,mermaids,first,said,color,mrs,new,class,really
26, Barbara Jordan's Keynote Address..txt,people,must,common,national,us,one,party,public,democratic,believe
27, Booker T. Washington's Harvard University Address..txt,race,lagos,yet,state,life,must,man,measure,humble,nigerian
28, Buhari Commissions Projects in Taraba.txt,kashimbila,hydropower,line,multipurpose,dam,federal,water,project,also,station
