,Filepath,0,1,2,3,4,5,6,7,8,9
0," 200 BDC operators arrested, EFCC alleges fraud.txt",arrested,suspects,efcc,forex,enugu,one,financial,oyewale,state,charge
1, A National Eulogy in Remembering the Fallen Hereos.txt,us,national,names,world,nation,prayers,many,god,nigerians,life
2, African Night's Entertainment.txt,novel,abu,child,kyauta,old,story,vengeance,mallam,different,make
4, Did Tinubu appoint retired AIG Odumosu substantive EFCC Chairman?.txt,odumosu,efcc,government,appointed,retired,tinubu,social,media,official,statement
5, Echoes of Tomorrow.txt,charlotte,book,within,pages,existed,forgotten,obscured,amidst,old,one
6, Empowering Women: A Catalyst for Sustainable Development in Nigeria.txt,women,sustainable,empowering,development,environmental,addressing,nigeria,essential,achieving,gender
7," HOME » HEALTH » PASS LAWS MANDATING SIX-MONTH MATERNITY LEAVE FOR NURSING MOTHERS, CS-SUNN TELLS LEGISLATORS HEALTH June 30, 2024  Pass laws mandating six-month maternity leave for nursing mothers, CS-SUNN tells Legislators.txt",nutrition,states,child,malnutrition,also,legislators,need,said,would,things
8," I Invoked The Spirit Of Freedom In Ogun, Says Tinubu.txt",spirit,oba,cashless,ogun,state,tinubu,presidential,election,policy,invoked
9, Marketers fear high-priced petrol ahead of supply.txt,dangote,crude,refinery,oil,price,fuel,would,cost,iocs,us
10, NCC seeks stakeholder input to develop stronger dispute resolution mechanisms.txt,regulatory,communications,interconnect,commission,public,inquiry,telecommunications,instruments,vital,nigerian
11," Nigeria: A Journey of Unity, Resilience, and Progress.txt",social,nigeria,economic,security,diversity,embracing,towards,essential,sustainable,fostering
12, Nigeria: A Nation of Resilience and Opportunity.txt,cultural,nigeria,population,challenges,rich,significant,healthcare,social,african,one
13, Nigeria: A Tapestry of Diversity and Resilience.txt,social,nigeria,economic,security,challenges,resilience,determination,cultural,diversity,essential
14, Nigeria: Building a Resilient Future Through Unity and Innovation.txt,diversity,social,economic,nigeria,fostering,challenges,embracing,sustainable,essential,security
15, Nigeria: Embracing Diversity and Driving Innovation.txt,significant,social,including,nigeria,cultural,economic,challenges,ethnic,critical,healthcare
16, Nigeria: Embracing Diversity for National Prosperity.txt,economic,challenges,cultural,nigeria,country,diversity,remains,social,security,environmental
17, Nigeria: Embracing the Future Amidst Challenges.txt,economic,cultural,challenges,social,potential,significant,national,diverse,ethnic,including
18, Nigeria: Navigating Challenges Towards a Brighter Future.txt,nigeria,economic,social,challenges,cultural,sustainable,addressing,security,ensuring,abundant
19, Nigeria: Navigating Complexity Towards Progress.txt,economic,challenges,environmental,social,historical,cultural,nigeria,led,building,security
20, Nigeria: Navigating Diversity Towards National Development.txt,diversity,nigeria,challenges,cultural,economic,essential,social,security,unity,national
21, Nigeria: Navigating the Path to Progress.txt,significant,economic,nigeria,social,country,challenges,healthcare,growth,remains,political
22, Nigeria: Nurturing Unity and Progress Amidst Diversity.txt,nigeria,social,diversity,economic,security,challenges,promoting,fostering,ensuring,ethnic
23, Nigeria: Nurturing Unity in Diversity for Sustainable Progress.txt,cultural,nigeria,essential,challenges,building,diversity,ethnic,rich,including,economic
24," Nigeria: Striving for Unity, Progress, and Resilience.txt",nigeria,cultural,essential,challenges,social,building,rich,resilience,fostering,economic
25, Night’s Entertainment Summary.txt,mallam,abu,zainobe,shehu,bakir,kyauta,told,mother,horse,went
26, OpenAI suspends ChatGPT voice 'that sounds like Scarlett Johansson'.txt,openai,voices,voice,ai,users,noticed,sky,sounded,like,called
27, Orphans married off in Nigeria after mass wedding outcry.txt,young,women,mass,including,many,ceremonies,minister,stop,girls,niger
28, Peter Obi visits Kano mosque attack victims.txt,victims,kano,attack,state,mosque,government,gezawa,local,area,hospital
29, STRATEGIC INITIATIVES TO ENHANCE SERVICE DELIVERY.txt,minister,public,ministry,security,across,must,correctional,nigeria,advanced,enhance
30, Students urge FG to fix collapsed Lagos-Abeokuta expressway.txt,expressway,state,federal,students,monday,government,towards,completely,minister,thomas
31, Sustainable Development Goals.txt,governments,agenda,sustainable,world,leaders,national,started,sdgs,goals,countries
32, Tapswap frenzy: Why Nigerians are tapping their phone screens.txt,tapping,new,crypto,trend,nigeria,people,phone,viral,one,swept
33, The Alchemist's Legacy.txt,ayomide,world,ancient,lay,heart,full,stone,forgotten,mind,amidst
34, The Art of Living in Harmony.txt,serenity,amidst,peace,art,soul,practice,present,without,involves,life
35, The Clockmaker's Last Creation.txt,amidst,oscar,like,hands,would,work,heart,one,masterpiece,clock
36, The Dreamer's Odyssey.txt,lola,lay,heart,crystal,full,light,mind,dream,journey,found
37, The Evolution and Challenges of Journalism in Nigeria.txt,journalism,nigerian,press,media,journalists,digital,nigeria,significant,challenges,critical
38, The Intricate Social Fabric of Nigeria.txt,cultural,nigeria,social,ethnic,rich,economic,significant,challenges,nigerian,spirit
39, The Last Farewell.txt,love,sarah,david,voice,weight,would,us,time,unspoken,heavy
40, The Power of Empathy in Building Stronger Connections.txt,empathy,feelings,serves,fostering,world,interactions,feel,ability,understand,share
41, The Rich Cultural Tapestry of Nigeria.txt,cultural,significant,economic,nigeria,oil,country,ethnic,challenges,largest,landscape
42, The Wanderer's Tale.txt,kayode,journey,heart,lay,full,sky,earth,like,ends,stars
43, Things Fall Apart by Chinua Achebe [A Review].txt,things,achebe,fall,apart,one,okonkwo,man,two,great,nigerian
44, Veteran actor Jimi Solanke dies at 81.txt,remo,state,died,said,north,jimi,monday,ogun,solanke,hon
45, infrastructure in health sector’.txt,health,healthcare,adegoke,technological,infrastructure,access,government,underserved,telemedicine,also
46,"$14,000 mistake turns into N7.5m windfall for honest Nigerian.txt",crypto,anjola,mistakenly,returned,account,foreign,credit,sent,said,nigerian
47,$6bn fraud: Court rules on Agunloye’s application for foreign medical trip July 17.txt,application,medical,court,travel,power,abroad,filed,report,federal,agunloye
48,'Femi+Adedeji+(Vol.+7+No.+1+pp+40-66).txt,music,church,african,apostolic,christ,ti,ayo,musicology,online,page
49,004128ar.txt,literature,translated,original,hebrew,literary,translation,texts,publishing,de,status
50,03-142Ch27 (1).txt,media,mass,social,news,tv,communication,e,ch,page,new
51,075F21467967.txt,sudan,south,border,secession,conflict,state,independence,conflicts,political,african
52,"1,000 Mentees Attend Stability, Sustenance Small Business Summit in Warri.txt",business,brand,identity,stability,sustenance,mentees,small,create,packaging,product
53,1-IJELS-DEC-2018-17-TheImportanceof.txt,music,igbo,cultural,social,policy,traditional,folk,life,african,culture
54,1-s2.0-S0953620523001930-main.txt,dna,histone,epigenetic,methylation,gene,et,expression,chromatin,genes,cell
55,1-s2.0-S1658361217300574-main.txt,epigenetic,dna,methylation,human,gene,histone,patients,epigenetics,cell,j
56,1-s2.0-S2212017315001590-main.txt,procedia,technology,dana,rus,published,elsevier,open,access,article,cc
57,1. 2017_Telemedicine and Beyond Navigating the Frontier of Medical Technology.txt,healthcare,telemedicine,medical,patient,technology,health,data,patients,management,ethical
58,1.1-Oluwafunminiyi.txt,fela,un,prison,would,regime,government,justice,beast,album,military
59,1.Musicasacommunicationtooletc..txt,music,development,rivers,senatorial,communication,social,people,rural,use,political
60,1.full.txt,obesity,et,body,mass,genetic,studies,health,index,adiposity,j
61,10 years after – a farewell statement to the General Assembly.txt,world,many,people,us,global,human,new,rights,united,even
62,10.22492.ijah.4.si-06.txt,nigerian,war,civil,nigeria,military,ethnic,state,journal,states,government
63,10.2307_1776255.txt,fulani,northern,emirates,two,british,one,subject,sokoto,captain,nile
64,10.2478_s13374-011-0018-4.txt,ofo,kolanut,earth,igbo,nanka,people,oji,one,peace,social
65,10.7560_765030-002.txt,letters,letter,personal,faulkner,writing,fictional,wrote,public,william,private
66,1001061820223720.txt,school,management,factors,internal,performance,external,relationship,significant,educational,journal
67,102nd-Inaugural-Lecture-Professor-Christian-Uzoma-Onyeji.txt,music,african,art,creative,musical,indigenous,composers,social,composition,traditional
68,1087843ar.txt,women,christian,ka,songs,northern,men,music,muslim,hâve,religious
69,1103394402.txt,nigeria,n,national,political,biafra,f,nigerian,state,security,states
70,112.txt,women,political,politics,nigerian,participation,social,journal,nigeria,sciences,men
71,115-455-2-PB.txt,religious,doctrinal,supremacy,counterclaims,nigeria,social,sustainable,christianity,islam,religions
72,1189-Article Text-3666-1-10-20230426 (1).txt,copyright,music,law,digital,act,work,new,nigerian,intellectual,musical
73,1189-Article Text-3666-1-10-20230426.txt,copyright,music,law,digital,act,work,new,nigerian,intellectual,musical
75,12 US Politicians write Biden to bring back Binance executive from Nigeria.txt,nigerian,gambaryan,politicians,authorities,tigran,detained,letter,us,court,binance
76,12.1-20-Mohammed1.txt,political,national,leadership,nigeria,people,pledge,elite,nigerian,state,journal
77,1238-2451-1-SM.txt,music,education,african,western,nigeria,nigerian,africa,journal,towards,ogisi
78,"12412_Baltic++70,+(900+to+913).txt",awolowo,education,western,obafemi,nigeria,also,government,political,school,free
79,125911608 (1).txt,science,technology,education,social,development,new,students,political,college,advancement
80,125957879.txt,school,education,must,management,skills,learning,schools,era,based,able
81,1279202039_ARQUIVO_PaulinaPalmer.txt,lesbian,gothic,de,also,feminist,female,fiction,image,transgressive,form
82,129680-BRI-PUBLIC-The-Future-of-Work-final.txt,labor,technological,world,technologies,employment,economic,industrial,market,countries,workers
83,14 Major Decisions Made At Marathon FEC Meeting .txt,council,approved,cost,contract,road,federal,also,awarded,government,nigeria
84,14-year-old emerges US Young Scientist award with cancer treatment soap.txt,soap,skin,cancer,bar,help,people,melanoma,risk,young,inventing
85,14.txt,security,business,nigeria,insecurity,development,journal,economic,challenges,national,investment
86,1471-2458-14-1167.txt,cholera,cases,week,outbreak,health,reported,cfr,states,wave,years
87,148135.txt,periodical,media,studies,magazines,periodicals,new,reading,special,digital,modern
88,155.txt,security,nigerian,nigeria,management,personnel,public,government,international,elements,good
89,157-ArticleText-560-1-10-20211013.txt,goat,farmers,et,goats,production,reported,livestock,al,indigenous,african
90,1598957423_value-added-tax-and-its-effect-on-revenue-generation-in-nigeria.txt,tax,revenue,value,government,income,added,vat,generation,goods,public
91,"16 months after presidential assent, FG yet to establish mental health dept.txt",mental,health,department,national,meant,federal,ministry,establishment,establish,act
92,175.txt,music,therapy,healing,one,igbo,african,international,traditional,social,also
93,1776ThomasPaine.txt,hath,would,may,us,king,time,without,men,every,one
94,1882-3713-1-SM.txt,form,music,musical,may,section,b,art,composer,call,composition
95,188225479.txt,schools,education,religious,mission,government,return,nigeria,state,educational,nigerian
96,1886-3721-1-SM.txt,women,nigerian,music,education,also,woman,nigeria,many,nation,society
97,19 - Motivation.txt,motivation,theory,people,needs,need,work,behaviour,job,money,goal
100,1998_Suffering_and_the_identification_of.txt,e,n,g,people,l,religious,kano,nigeria,new,nigerian
101,1a document.txt,magazines,magazine,little,advertising,mass,modernism,new,modern,th,poetry
102,1bj06qac2_899232.txt,ethical,future,extraterrestrial,life,human,may,biological,entities,consideration,would
103,2.Navigating the Gig Economy.txt,gig,workers,economy,traditional,social,work,fair,mcr,hrd,samriddhi
104,20051207_buhari.txt,muslim,democracy,nigeria,islam,conflict,democratic,resolution,states,even,world
105,2006.00110v1.txt,movement,ecology,papers,research,data,animal,science,methods,using,used
106,2007-null.txt,organic,ifoam,international,also,agriculture,movement,first,development,world,years
107,2016-null.txt,health,reproductive,adolescents,sexual,srh,knowledge,services,access,utilization,among
